Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-11-20,385,385,385,385,0.5,+0.13%,0,2
2025-11-19,384.5,384.5,384.5,384.5,0.5,+0.13%,0,2
2025-11-18,384,384,384,384,0.5,+0.13%,0,2
2025-11-17,383.5,383.5,383.5,383.5,2.5,+0.66%,0,2
2025-11-14,381,381,381,381,-2.,-0.52%,0,2
2025-11-13,383,383,383,383,1.5,+0.39%,0,2
2025-11-12,381.5,381.5,381.5,381.5,0,0.00%,0,2
2025-11-11,381.5,381.5,381.5,381.5,-1.5,-0.39%,0,2
2025-11-10,383,383,383,383,2,+0.52%,0,2
2025-11-07,381,381,381,381,-2.5,-0.65%,0,2
2025-11-06,383.5,383.5,383.5,383.5,-0.5,-0.13%,0,2
2025-11-05,384,384,384,384,10.5,+2.81%,0,2
2025-11-04,373.5,373.5,373.5,373.5,-0.5,-0.13%,0,2
2025-11-03,374,374,374,374,6,+1.63%,0,2
2025-10-31,368,368,368,368,-10.5,-2.77%,0,2
2025-10-30,378.5,378.5,378.5,378.5,-2.,-0.53%,0,2
2025-10-29,380.5,380.5,380.5,380.5,1.5,+0.40%,0,2
2025-10-28,379,379,379,379,-1.,-0.26%,0,2
2025-10-27,380,380,380,380,0,0.00%,0,2
2025-10-24,380,380,380,380,-1.,-0.26%,0,2
2025-10-23,381,381,381,381,4,+1.06%,0,2
2025-10-22,377,377,377,377,-3.5,-0.92%,0,2
2025-10-21,380.5,380.5,380.5,380.5,2,+0.53%,0,2
2025-10-20,378.5,378.5,378.5,378.5,-2.,-0.53%,0,2
2025-10-17,380.5,380.5,380.5,380.5,-1.5,-0.39%,0,2
2025-10-16,382,382,382,382,2.5,+0.66%,0,2
2025-10-15,379.5,379.5,379.5,379.5,-3.,-0.78%,0,2
2025-10-14,382.5,382.5,382.5,382.5,0.5,+0.13%,0,2
2025-10-13,382,382,382,382,0,0.00%,0,2
2025-10-10,382.5,382.5,382,382,-2.,-0.52%,4,2
2025-10-09,384,384,384,384,1,+0.26%,0,0
2025-10-08,383,383,383,383,-1.,-0.26%,0,0
2025-10-07,384,384,384,384,1.5,+0.39%,0,0
2025-10-06,382.5,382.5,382.5,382.5,1,+0.26%,0,0
2025-10-03,381.5,381.5,381.5,381.5,0,0.00%,0,0
2025-10-02,381.5,381.5,381.5,381.5,5.5,+1.46%,0,0
2025-10-01,376,376,376,376,-1.,-0.27%,0,0
2025-09-30,377,377,377,377,0,0.00%,0,0
2025-09-29,377,377,377,377,-0.5,-0.13%,0,0
2025-09-26,377.5,377.5,377.5,377.5,-1.5,-0.40%,0,0
2025-09-25,379,379,379,379,-4.5,-1.17%,0,0
2025-09-24,383.5,383.5,383.5,383.5,5.5,+1.46%,0,0
2025-09-23,378,378,378,378,-0.5,-0.13%,0,0
2025-09-22,378.5,378.5,378.5,378.5,2,+0.53%,0,0
2025-09-19,376.5,376.5,376.5,376.5,-0.5,-0.13%,0,0
2025-09-18,377,377,377,377,-0.5,-0.13%,0,0
2025-09-17,377.5,377.5,377.5,377.5,0.5,+0.13%,0,0
2025-09-16,377,377,377,377,1.5,+0.40%,0,0
2025-09-15,375.5,375.5,375.5,375.5,0,0.00%,0,0
2025-09-12,375.5,375.5,375.5,375.5,1.5,+0.40%,0,0
2025-09-11,374,374,374,374,0.5,+0.13%,0,0
2025-09-10,373.5,373.5,373.5,373.5,0,0.00%,0,0
2025-09-09,373.5,373.5,373.5,373.5,-1.,-0.27%,0,0
2025-09-08,374.5,374.5,374.5,374.5,0.5,+0.13%,0,0
2025-09-05,374,374,374,374,-0.5,-0.13%,0,0
2025-09-04,374.5,374.5,374.5,374.5,0.5,+0.13%,0,0
2025-09-03,374,374,374,374,1,+0.27%,0,0
2025-09-02,373,373,373,373,16.5,+4.63%,0,0
2025-09-01,356.5,356.5,356.5,356.5,0,0.00%,0,0
2025-08-29,356.5,356.5,356.5,356.5,-17.,-4.55%,0,0
2025-08-28,373.5,373.5,373.5,373.5,0.5,+0.13%,0,0
2025-08-27,373,373,373,373,0,0.00%,0,0
2025-08-26,373,373,373,373,-4.5,-1.19%,0,0
2025-08-22,377.5,377.5,377.5,377.5,1,+0.27%,0,0
2025-08-21,376.5,376.5,376.5,376.5,-0.5,-0.13%,0,0
2025-08-20,377,377,377,377,1,+0.27%,0,0
2025-08-19,376,376,376,376,0.5,+0.13%,0,0
2025-08-18,375.5,375.5,375.5,375.5,-1.5,-0.40%,0,0
2025-08-15,377,377,377,377,0,0.00%,0,0
2025-08-14,377,377,377,377,-2.,-0.53%,0,0
2025-08-13,379,379,379,379,0.5,+0.13%,0,0
2025-08-12,378.5,378.5,378.5,378.5,0,0.00%,0,0
2025-08-11,378.5,378.5,378.5,378.5,1,+0.26%,0,0
2025-08-08,377.5,377.5,377.5,377.5,-2.5,-0.66%,0,0
2025-08-07,380,380,380,380,2.5,+0.66%,0,0
2025-08-06,377.5,377.5,377.5,377.5,0,0.00%,0,0
2025-08-05,377.5,377.5,377.5,377.5,-1.5,-0.40%,0,0
2025-08-04,379,379,379,379,-0.5,-0.13%,0,0
2025-08-01,379.5,379.5,379.5,379.5,0.5,+0.13%,0,0
2025-07-31,379,379,379,379,-1.,-0.26%,0,0
2025-07-30,380,380,380,380,1.5,+0.40%,0,0
2025-07-29,378.5,378.5,378.5,378.5,3.5,+0.93%,0,0
2025-07-28,375,375,375,375,0,0.00%,0,0
2025-07-25,375,375,375,375,-2.5,-0.66%,0,0
2025-07-24,377.5,377.5,377.5,377.5,-0.5,-0.13%,0,0
2025-07-23,378,378,378,378,3,+0.80%,0,0
2025-07-22,375,375,375,375,-1.5,-0.40%,0,0
2025-07-21,376.5,376.5,376.5,376.5,3.5,+0.94%,0,0
2025-07-18,373,373,373,373,0,0.00%,0,0
2025-07-17,373,373,373,373,0,0.00%,0,0
2025-07-16,373,373,373,373,0,0.00%,0,0
2025-07-15,373,373,373,373,0,0.00%,0,0
2025-07-14,373,373,373,373,2.5,+0.67%,0,0
2025-07-11,370.5,370.5,370.5,370.5,-5.,-1.33%,0,0
2025-07-10,375.5,375.5,375.5,375.5,1.5,+0.40%,0,0
2025-07-09,374,374,374,374,-2.,-0.53%,0,0
2025-07-08,376,376,376,376,3,+0.80%,0,0
2025-07-07,373,373,373,373,1.5,+0.40%,0,0
2025-07-04,371.5,371.5,371.5,371.5,-1.5,-0.40%,0,0
2025-07-03,373,373,373,373,5,+1.36%,0,0
2025-07-02,368,368,368,368,0,0.00%,0,0
"Downloaded from Barchart.com as of 08-12-2026 03:44am CDT"
