origin_index,origin_date,target_end,actual,predicted,baseline,interval_half_80,alpha,train_n,quality_primary
477,2026-03-02,2026-04-01,0.09038406146826894,0.0027651213871580558,0.014922188350242421,0.014029561386330158,10.0,40,0.0
478,2026-03-03,2026-04-02,0.0919013622838215,-0.0005424555816389812,0.00955363543793261,0.012920723957292808,10.0,42,0.0
479,2026-03-05,2026-04-04,0.08434114843375096,-0.004037910850177013,0.00955363543793261,0.012920723957292808,10.0,42,0.0
480,2026-03-06,2026-04-06,0.09291496907836996,-0.007670182771778921,0.014922188350242421,0.014555884805777566,10.0,44,0.0
481,2026-03-07,2026-04-06,0.07984288751101724,-0.009306281849211244,0.018945086242449203,0.015530132904997487,10.0,45,0.0
482,2026-03-09,2026-04-08,0.08462758563435353,-0.0005931218424275113,0.02025463207914492,0.01552587804173049,10.0,46,0.0
483,2026-03-10,2026-04-09,0.05758787487296118,-0.003373567190046176,0.02156417791584064,0.017001656815247138,10.0,48,0.0
484,2026-03-11,2026-04-10,0.06307260345507495,0.0012192796400062227,0.02156417791584064,0.017001656815247138,10.0,48,0.0
485,2026-03-12,2026-04-11,0.07109592168373026,0.0168873925121739,0.02156417791584064,0.016703461359493493,10.0,49,0.0
486,2026-03-13,2026-04-13,0.08105700941380833,0.022804919326205188,0.02156417791584064,0.016629409773164322,10.0,50,0.0
487,2026-03-14,2026-04-13,0.08634802704822392,0.0349804233378961,0.02156417791584064,0.016549925676764436,10.0,51,0.0
488,2026-03-16,2026-04-15,0.08923113372794261,0.04244410478457193,0.021506360661662057,0.015964904225115158,10.0,52,0.0
489,2026-03-17,2026-04-16,0.07109592168373026,0.020650408576374655,0.02156417791584064,0.016604874920012298,10.0,54,0.0
490,2026-03-18,2026-04-17,0.07656799799458433,0.011890375457495625,0.02156417791584064,0.016604874920012298,10.0,54,0.0
491,2026-03-19,2026-04-18,0.07902198695615098,0.023645308165225885,0.02156417791584064,0.01659362033784251,10.0,55,0.0
492,2026-03-20,2026-04-20,0.07656799799458433,0.0225017412412871,0.022640352266578352,0.016638074828588246,10.0,56,0.0
493,2026-03-21,2026-04-20,0.06864193272216364,0.018741298035003812,0.023716526617316065,0.01680829682918373,10.0,57,0.0
494,2026-03-23,2026-04-22,0.06812217051770751,0.016855517072812902,0.023842858365156233,0.01673085784535978,10.0,58,0.0
495,2026-03-25,2026-04-24,0.06812217051770751,0.014443137403412225,0.023969190112996402,0.01673823800076359,10.0,59,0.0
496,2026-03-26,2026-04-25,0.07073655109177827,0.012664698125343756,0.024330901351683906,0.016595592230150804,10.0,60,0.0
497,2026-03-27,2026-04-27,0.06812217051770751,0.00436045317805849,0.024692612590371414,0.016266539316266416,10.0,61,0.0
498,2026-03-28,2026-04-27,0.05773246666857171,-0.0015396879336117284,0.025504960453872384,0.01684064302620898,10.0,62,0.0
499,2026-03-30,2026-04-29,0.02258565264874907,-0.005339940167972909,0.026317308317373358,0.01678976148198817,10.0,63,0.0
500,2026-03-31,2026-04-30,-0.00992563979996993,-0.027114953569186938,0.026317308317373358,0.01875926268289052,10.0,65,0.0
501,2026-04-01,2026-05-01,-0.004950505159856203,-0.02201163546160989,0.026317308317373358,0.01875926268289052,10.0,65,0.0
502,2026-04-02,2026-05-02,-0.01227009259181436,-0.01696922979586309,0.026600323855406904,0.018621896415122675,10.0,66,0.0
503,2026-04-03,2026-05-04,0.0,-0.0016793107822346827,0.02688333939344045,0.021501927723902123,10.0,67,0.0
504,2026-04-04,2026-05-04,-0.00491401480242904,0.0075476339359113066,0.02688333939344045,0.021501927723902123,10.0,67,0.0
505,2026-04-06,2026-05-06,-0.036634133179780384,0.014871117542378237,0.026956005890679934,0.021991101564433384,10.0,68,0.0
507,2026-04-08,2026-05-08,-0.05141891463770007,0.0027361889941906817,0.02702867238791942,0.020430875648008318,10.0,70,0.0
508,2026-04-09,2026-05-09,-0.03465693380904415,0.01780123105531701,0.02702867238791942,0.019471975924170448,10.0,71,0.0
509,2026-04-10,2026-05-11,-0.03230094478832118,0.014882843882365463,0.028814556418318232,0.020002202277295992,10.0,72,0.0
510,2026-04-11,2026-05-11,-0.02985296314968116,0.005976618160649778,0.030600440448717042,0.02025043576311953,10.0,73,0.0
511,2026-04-13,2026-05-13,-0.052446475372542545,0.0110624971118516,0.03113267754634287,0.02026509799122906,10.0,74,0.0
512,2026-04-14,2026-05-14,-0.07244115076586749,-6.220646309091672e-06,0.03337811722761945,0.021147080929605155,10.0,76,0.0
