family,horizon,raw_oos_n,nonoverlap_n,mae_log,baseline_mae_log,mae_skill_log,mae_skill_pct,direction_hit,nonoverlap_mae_skill_log,bootstrap_skill_ci_low,bootstrap_skill_ci_high,third_skill_min,third_skill_median,primary_quality_oos_n,validated_gate,rank_score,live_family,live_horizon,live_as_of,live_current_price,live_predicted_log_return,live_predicted_pct,live_predicted_price,live_lower80_price,live_upper80_price,live_train_n,live_alpha,live_turkey_primary_quality,live_turkey_age,status,call
grade,5,486,116,0.011474047558978871,0.011150671332143541,-0.00032337622683533025,-0.029000606080384423,0.3148148148148148,-0.00022599637875689478,-0.000688623894173793,3.399280438653962e-05,-0.0011540099239329077,-0.00021616971573518683,64,False,-0.0006761869731577868,grade,5,2026-08-11,38500.0,-0.002461752772491784,-0.002458725144069156,38405.33908195334,37738.75845862416,39083.69353530623,589,100.0,True,1.0,PROVISIONAL,NO CALL
baseline,10,477,59,0.017204754900921767,0.016466321019349427,-0.0007384338815723396,-0.04484510417989619,0.38784067085953877,-0.0007730223507539692,-0.0014592066279910517,-4.660963511579965e-05,-0.0018929730073359748,-0.0001949591300711255,61,False,-0.0016154825433741327,baseline,10,2026-08-11,38500.0,-0.0049329545132264785,-0.004920807474915553,38310.54891221575,37425.118337341795,39216.92764537888,585,100.0,True,1.0,PROVISIONAL,NO CALL
baseline,15,463,40,0.022566819103739727,0.021740632372481784,-0.0008261867312579427,-0.0380019641150682,0.3282937365010799,-0.0006328004846749176,-0.0022303165626375602,0.0005818581932003783,-0.0020843725405072875,-0.0007023522491953343,57,False,-0.0015669869854307108,baseline,15,2026-08-11,38500.0,-0.008120127286052799,-0.008087248107042672,38188.640947878856,37035.58731303598,39377.59337038201,575,100.0,True,1.0,PROVISIONAL,NO CALL
combined,30,99,5,0.05143731582327355,0.05953324010108301,0.00809592427780946,0.13598998247135857,0.46464646464646464,0.007134432552532002,-0.0051058886536605496,0.021394250951748673,-0.0011860557525486953,0.00632096534017762,44,False,0.010885880753299559,combined,30,2026-08-11,38500.0,-0.03094522619609028,-0.030471323604717004,37326.854041218394,36104.53402518196,38590.55573581524,164,100.0,True,1.0,NO CALL - LOW N,NO CALL
grade,45,393,12,0.04680193338437564,0.053289880984678246,0.006487947600302607,0.12174820961165222,0.4758269720101781,0.0026052052730973843,-0.0011786396865949762,0.014996144816289398,-0.0033782490944526677,0.0063360566746278255,35,False,0.005004616799635521,grade,45,2026-08-11,38500.0,-0.06303242340242941,-0.06108696955943314,36148.15167196182,34474.906156875644,37902.608446652775,525,1.0,True,1.0,PROVISIONAL,NO CALL
grade,60,360,8,0.058265779122673014,0.06825401796337799,0.009988238840704974,0.14633920666859804,0.4388888888888889,0.022436923929717745,0.0012419727703365786,0.019264323692044262,0.0018036970041862277,0.010781963169992664,23,False,0.02788196760111679,grade,60,2026-08-11,38500.0,-0.06535963308534454,-0.06326947649463253,36064.125154956644,34020.158435262536,38230.89553410952,503,100.0,True,1.0,NO CALL - LOW N,NO CALL
baseline,90,297,5,0.0782248110846371,0.0821727764328945,0.003947965348257407,0.04804468729958844,0.45454545454545453,0.0076003888020276245,-0.010147374544221984,0.019181571030185883,-0.0017523525271505302,-0.0007503804815188614,5,False,0.009136283344368695,baseline,90,2026-08-11,38500.0,-0.06209640587789969,-0.06020771907619579,36182.00281556646,33889.79535210681,38629.24854352285,467,100.0,True,1.0,NO CALL - LOW N,NO CALL
