rule,horizon,eligible_n,called_n,coverage,up_calls,down_calls,flat_outcomes,raw_hit_rate_including_flat,mean_signed_log_return,median_signed_change_inr,holding_hurdle_inr,economic_hit_rate,mean_signed_net_value_inr,median_signed_net_value_inr,bootstrap_mean_signed_ci_low,bootstrap_mean_signed_ci_high,raw_one_sided_p,phase_cohort_count,nonoverlap_n_min,nonoverlap_n_median,nonoverlap_n_max,phase_mean_signed_min,phase_mean_signed_median,phase_hit_min,phase_hit_median,standardized_edge,max_shift_adjusted_p,passes_prespecified_rule_gate
rule_plate_melt,5,590,272,0.4610169491525424,142,130,72,0.3786764705882353,0.0013933107159017739,0.0,150,0.5110294117647058,48.529411764705884,50.0,-0.001243463210583277,0.0040006689565263,0.15292353823088456,4,79,79.5,80,0.0012034712434074353,0.0012429743874247997,0.35,0.36479430379746836,0.8457998173506839,0.8227848101265823,False
rule_plate_melt,10,586,264,0.45051194539249145,142,122,42,0.4583333333333333,0.0035747065140858923,0.0,300,0.5340909090909091,118.93939393939394,150.0,-0.0016945748080706335,0.009169295322509086,0.1024487756121939,8,45,46.0,46,0.004607466999947666,0.004772997289106776,0.5,0.5217391304347826,1.1640177094970954,0.670219853431046,False
rule_plate_melt,15,576,260,0.4513888888888889,142,118,37,0.55,0.0076057256833245756,200.0,450,0.6192307692307693,252.69230769230768,350.0,0.0003400714939194884,0.014877232666290902,0.01699150424787606,11,35,35.0,36,0.0062647192336240795,0.00626639269251999,0.5428571428571428,0.5428571428571428,1.7603693417390633,0.21852098600932712,False
rule_plate_melt,30,550,238,0.43272727272727274,142,96,23,0.6764705882352942,0.022044432317629585,850.0,900,0.6050420168067226,657.9831932773109,800.0,0.012507273951456172,0.03179737690363558,0.0004997501249375312,2,19,19.0,19,0.02431131404840437,0.024378020774804058,0.6842105263157895,0.6842105263157895,2.546767810412451,0.022651565622918056,False
rule_plate_melt,45,526,231,0.4391634980988593,140,91,13,0.7489177489177489,0.031350517368990215,900.0,1350,0.5541125541125541,884.1991341991342,850.0,0.017579888054344812,0.046706886475532436,0.0004997501249375312,18,12,12.0,12,0.019838891373923213,0.021109545559033105,0.6666666666666666,0.6666666666666666,2.3124100006119943,0.046635576282478344,False
rule_plate_melt,60,503,224,0.44532803180914515,131,93,17,0.6919642857142857,0.03415021637688665,1000.0,1800,0.5669642857142857,954.9107142857143,750.0,0.017136470386669628,0.051459437580413846,0.0004997501249375312,26,8,9.0,9,0.02054718713716452,0.03442262012508665,0.5555555555555556,0.6666666666666666,1.9166193560971405,0.13524317121918722,False
rule_plate_melt,90,468,218,0.4658119658119658,131,87,2,0.6513761467889908,0.02854861007864102,1400.0,2700,0.463302752293578,464.2201834862385,-250.0,-0.003608471379653425,0.0594689342477371,0.04247876061969016,1,7,7.0,7,-0.0024967768503677446,-0.0024967768503677446,0.5714285714285714,0.5714285714285714,1.2048491137449904,0.6229180546302465,False
rule_eight_melt,5,590,278,0.4711864406779661,152,126,70,0.37050359712230213,0.0009821119226564598,0.0,150,0.4892086330935252,25.179856115107913,-50.0,-0.0018340287268074234,0.003793512871345861,0.2478760619690155,5,79,80.0,80,0.0009062306269047307,0.0009897198864341288,0.3625,0.3670886075949367,0.5980562347278836,0.8887408394403731,False
rule_eight_melt,10,586,271,0.46245733788395904,153,118,42,0.4317343173431734,0.0026249571628984662,0.0,300,0.5055350553505535,66.42066420664207,100.0,-0.0025097559933051957,0.008115595651317451,0.1629185407296352,7,45,45.0,45,0.002429975785179252,0.002599396343193904,0.4222222222222222,0.4444444444444444,0.8454126804430191,0.8227848101265823,False
rule_eight_melt,15,576,267,0.4635416666666667,153,114,38,0.5243445692883895,0.006745189397103189,200.0,450,0.5917602996254682,196.44194756554307,250.0,-0.0012015732991580905,0.014854720749198061,0.043478260869565216,7,34,34.0,34,0.003983956500427195,0.003984527800483331,0.5,0.5,1.538731072272173,0.3870752831445703,False
