Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2024-06-24,387,387,387,387,-1.,-0.26%,0,15
2024-06-25,385,385,385,385,-2.,-0.52%,0,15
2024-06-26,385,385,385,385,0,0.00%,0,15
2024-06-27,385,385,385,385,0,0.00%,0,12
2024-06-28,385,385,385,385,0,0.00%,0,12
2024-07-01,387,387,387,387,2,+0.52%,0,12
2024-07-02,389,389,389,389,2,+0.52%,0,12
2024-07-03,389,389,389,389,0,0.00%,0,12
2024-07-05,389,389,389,389,0,0.00%,0,12
2024-07-08,389,389,389,389,0,0.00%,0,12
2024-07-09,389,389,389,389,0,0.00%,0,12
2024-07-10,389,389,389,389,0,0.00%,0,12
2024-07-11,389,389,389,389,0,0.00%,0,12
2024-07-12,389,389,389,389,0,0.00%,0,12
2024-07-15,389,389,389,389,0,0.00%,0,12
2024-07-16,389,389,389,389,0,0.00%,0,12
2024-07-17,389,389,389,389,0,0.00%,0,12
2024-07-18,389,389,389,389,0,0.00%,0,12
2024-07-19,389,389,389,389,0,0.00%,0,12
2024-07-22,389,389,389,389,0,0.00%,0,12
2024-07-23,385,385,385,385,-4.,-1.03%,0,12
2024-07-24,385,385,385,385,0,0.00%,0,12
2024-07-25,382,382,382,382,-3.,-0.78%,0,12
2024-07-26,380,380,380,380,-2.,-0.52%,0,12
2024-07-29,378,378,378,378,-2.,-0.53%,3,12
2024-07-30,378,378,378,378,0,0.00%,0,9
2024-07-31,378,378,378,378,0,0.00%,0,9
2024-09-25,370,370,370,370,-8.,-2.12%,120,120
2024-09-26,373,373,373,373,3,+0.81%,0,60
2024-09-27,375,375,375,375,2,+0.54%,0,120
2024-09-30,387,395,387,387,12,+3.20%,0,120
2024-10-01,387,387,387,387,0,0.00%,0,120
2024-10-02,386,386,386,386,-1.,-0.26%,0,120
2024-10-03,385,385,385,385,-1.,-0.26%,0,50
2024-10-04,395,395,395,395,10,+2.60%,0,120
2024-10-07,398,398,398,398,3,+0.76%,0,120
2024-10-08,393,393,391,393,-5.,-1.26%,0,120
2024-10-09,394,394,394,394,1,+0.25%,0,120
2024-10-10,390,390,390,390,-4.,-1.02%,0,50
2024-10-11,387,387,387,387,-3.,-0.77%,0,120
2024-10-14,389,389,386,389,2,+0.52%,6,117
2024-10-15,384,384,382,384,-5.,-1.29%,0,117
2024-10-16,382,382,382,382,-2.,-0.52%,0,117
2024-10-17,379,379,379,379,-3.,-0.79%,0,60
2024-10-18,380,380,380,380,1,+0.26%,0,117
2024-10-21,380,380,379,380,0,0.00%,0,117
2024-10-22,379,379,379,379,-1.,-0.26%,0,117
2024-10-23,379,379,379,379,0,0.00%,0,117
2024-10-24,379,379,379,379,0,0.00%,0,50
2024-10-25,379,379,379,379,0,0.00%,0,117
2024-10-28,379,379,379,379,0,0.00%,0,117
2024-10-29,377,377,377,377,-2.,-0.53%,0,117
2024-10-30,376,376,376,376,-1.,-0.27%,0,117
2024-10-31,376,376,376,376,0,0.00%,0,40
2024-11-01,374.34,374.34,374.34,374.34,-1.66,-0.44%,0,107
"Downloaded from Barchart.com as of 08-12-2026 05:42am CDT"
