Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-10-06,371,371,371,371,9,+2.49%,3,21
2025-10-07,371,371,371,371,0,0.00%,0,21
2025-10-08,371,371,371,371,0,0.00%,0,21
2025-10-09,371,371,371,371,0,0.00%,0,21
2025-10-10,370,370,370,370,-1.,-0.27%,0,21
2025-10-13,368,368,368,368,-2.,-0.54%,0,21
2025-10-14,368,368,368,368,0,0.00%,0,21
2025-10-15,368,368,368,368,0,0.00%,0,21
2025-10-16,368,368,368,368,0,0.00%,0,21
2025-10-17,368,368,368,368,0,0.00%,0,21
2025-10-20,368,368,368,368,0,0.00%,0,21
2025-10-21,368,368,368,368,0,0.00%,0,21
2025-10-22,368,368,368,368,0,0.00%,0,21
2025-10-23,368,368,368,368,0,0.00%,0,21
2025-10-24,368,368,368,368,0,0.00%,0,21
2025-10-27,368,368,368,368,0,0.00%,0,21
2025-10-28,368,368,368,368,0,0.00%,0,21
2025-10-29,368,368,368,368,0,0.00%,0,21
2025-10-30,368,368,368,368,0,0.00%,0,21
2025-10-31,368,368,368,368,0,0.00%,0,12
2025-11-03,368,368,368,368,0,0.00%,0,12
2025-11-04,368,368,368,368,0,0.00%,0,12
2025-11-05,368,368,368,368,0,0.00%,0,12
2025-11-06,370,370,370,370,2,+0.54%,3,15
2025-11-07,370,370,370,370,0,0.00%,0,15
2025-11-10,370,370,370,370,0,0.00%,0,15
2025-11-11,370,370,370,370,0,0.00%,0,15
2025-11-12,370,370,370,370,0,0.00%,0,15
2025-11-13,370,370,370,370,0,0.00%,4,19
2025-11-14,370,370,370,370,0,0.00%,0,19
2025-11-17,370,370,370,370,0,0.00%,0,19
2025-11-18,370,370,370,370,0,0.00%,0,19
2025-11-19,370,370,370,370,0,0.00%,0,19
2025-11-20,370,370,370,370,0,0.00%,0,19
2025-11-21,370,370,370,370,0,0.00%,0,19
2025-11-24,370,370,370,370,0,0.00%,11,30
2025-11-25,370,370,370,370,0,0.00%,0,30
2025-11-26,370,370,370,370,0,0.00%,0,30
2025-11-28,370,370,370,370,0,0.00%,0,27
2025-12-01,370,370,370,370,0,0.00%,0,27
2025-12-02,370,370,370,370,0,0.00%,0,27
2025-12-03,370,370,370,370,0,0.00%,0,27
2025-12-04,370,370,370,370,0,0.00%,0,27
2025-12-05,370,370,370,370,0,0.00%,0,27
2025-12-08,370,370,370,370,0,0.00%,0,27
2025-12-09,370,370,370,370,0,0.00%,0,27
2025-12-10,370,370,370,370,0,0.00%,0,27
2025-12-11,370,370,370,370,0,0.00%,0,27
2025-12-12,370,370,370,370,0,0.00%,0,27
2025-12-15,367,367,367,367,-3.,-0.81%,24,42
2025-12-16,367,367,367,367,0,0.00%,0,42
2025-12-17,367,367,367,367,0,0.00%,0,42
2025-12-18,367,367,367,367,0,0.00%,0,9
2025-12-19,367,367,367,367,0,0.00%,0,45
2025-12-22,367,367,367,367,0,0.00%,0,45
2025-12-23,367,367,367,367,0,0.00%,0,45
2025-12-24,367,367,367,367,0,0.00%,0,45
2025-12-26,367,367,367,367,0,0.00%,0,45
2025-12-29,367,367,367,367,0,0.00%,0,45
2025-12-30,367,367,367,367,0,0.00%,0,45
2025-12-31,367,367,367,367,0,0.00%,0,30
2026-01-02,367,367,367,367,0,0.00%,0,30
2026-01-05,368,368,368,368,1,+0.27%,18,30
2026-01-06,368,368,368,368,0,0.00%,0,30
2026-01-07,372,372,372,372,4,+1.09%,3,33
2026-01-08,376,376,376,376,4,+1.08%,12,45
2026-01-09,376,376,376,376,0,0.00%,0,45
2026-01-12,376,376,376,376,0,0.00%,0,45
2026-01-13,376,376,376,376,0,0.00%,0,45
2026-01-14,376,376,376,376,0,0.00%,0,45
2026-01-15,376,376,376,376,0,0.00%,0,45
2026-01-16,376,376,376,376,0,0.00%,0,45
2026-01-20,376,376,376,376,0,0.00%,0,45
2026-01-21,377,377,377,377,1,+0.27%,2,45
2026-01-22,377,377,377,377,0,0.00%,0,45
2026-01-23,377,377,377,377,0,0.00%,3,42
2026-01-26,377,377,377,377,0,0.00%,0,42
2026-01-27,377,377,377,377,0,0.00%,3,45
2026-01-28,377,377,377,377,0,0.00%,0,45
2026-01-29,377,377,377,377,0,0.00%,0,45
2026-01-30,377,377,377,377,0,0.00%,0,33
2026-02-02,377,377,377,377,0,0.00%,0,33
2026-02-03,377,377,377,377,0,0.00%,0,33
2026-02-04,377,377,377,377,0,0.00%,0,33
2026-02-05,377,377,377,377,0,0.00%,0,33
2026-02-06,377,377,377,377,0,0.00%,0,33
2026-02-09,372,372,372,372,-5.,-1.33%,3,36
2026-02-10,372,372,372,372,0,0.00%,0,36
2026-02-11,372,372,372,372,0,0.00%,0,36
2026-02-12,372,372,372,372,0,0.00%,0,36
2026-02-13,372,372,372,372,0,0.00%,0,36
2026-02-17,372,372,372,372,0,0.00%,0,36
2026-02-18,372,372,372,372,0,0.00%,0,36
2026-02-19,372,372,372,372,0,0.00%,0,36
2026-02-20,376,376,376,376,4,+1.08%,4,36
2026-02-23,376,376,376,376,0,0.00%,0,36
2026-02-24,375,375,375,375,-1.,-0.27%,0,36
2026-02-25,375,375,375,375,0,0.00%,0,36
2026-02-26,375,375,375,375,0,0.00%,0,36
2026-02-27,375,375,375,375,0,0.00%,0,21
2026-03-02,375,375,375,375,0,0.00%,0,21
2026-03-03,375,375,375,375,0,0.00%,0,21
2026-03-04,375,375,375,375,0,0.00%,0,21
2026-03-05,375,375,375,375,0,0.00%,0,21
2026-03-06,375,375,375,375,0,0.00%,0,21
2026-03-09,375,375,375,375,0,0.00%,0,21
2026-03-10,375,375,375,375,0,0.00%,0,21
2026-03-11,381,381,375,375,0,0.00%,3,21
2026-03-12,381,381,381,381,6,+1.60%,12,21
2026-03-13,385,390,385,388,7,+1.84%,6,38
2026-03-16,391,391,386,391,3,+0.77%,0,38
2026-03-17,393,393,393,393,2,+0.51%,0,38
2026-03-18,393,393,393,393,0,0.00%,0,38
2026-03-19,393,393,393,393,0,0.00%,3,38
2026-03-20,393,393,393,393,0,0.00%,0,38
2026-03-23,393,393,393,393,0,0.00%,0,38
2026-03-24,393,393,393,393,0,0.00%,0,38
2026-03-25,393,393,393,393,0,0.00%,0,38
2026-03-26,399,399,399,399,6,+1.53%,0,38
2026-03-27,409,409,399,399,0,0.00%,5,35
2026-03-30,407,407,407,407,8,+2.01%,0,35
2026-03-31,407,407,407,407,0,0.00%,0,35
2026-04-01,407,407,407,407,0,0.00%,0,35
2026-04-02,406,408,406,406,-1.,-0.25%,9,0
2026-04-06,406,406,406,406,0,0.00%,0,35
2026-04-07,410,410,410,410,4,+0.99%,3,35
2026-04-08,409,409,409,409,-1.,-0.24%,0,35
2026-04-09,408,408,408,408,-1.,-0.24%,0,35
2026-04-10,406,406,406,406,-2.,-0.49%,12,31
2026-04-13,405,405,405,405,-1.,-0.25%,0,31
2026-04-14,404,404,404,404,-1.,-0.25%,3,28
2026-04-15,403,403,403,403,-1.,-0.25%,0,28
2026-04-16,403,403,403,403,0,0.00%,0,28
2026-04-17,402,402,402,402,-1.,-0.25%,6,28
2026-04-20,402,402,402,402,0,0.00%,0,28
2026-04-21,402,402,402,402,0,0.00%,0,28
2026-04-22,402,402,402,402,0,0.00%,0,28
2026-04-23,403,403,403,403,1,+0.25%,0,28
2026-04-24,403,403,403,403,0,0.00%,0,28
2026-04-27,403,403,403,403,0,0.00%,0,28
2026-04-28,405,405,405,405,2,+0.50%,0,28
2026-04-29,404,404,404,404,-1.,-0.25%,0,28
2026-04-30,404,404,404,404,0,0.00%,0,28
2026-05-01,405,405,405,405,1,+0.25%,0,19
"Downloaded from Barchart.com as of 08-12-2026 05:45am CDT"
