Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-06-06,343,350,343,350,-12.,-3.31%,9,49
2025-06-09,350,350,350,350,0,0.00%,0,49
2025-06-10,350,350,350,350,0,0.00%,0,49
2025-06-11,350,350,350,350,0,0.00%,0,49
2025-06-12,350,350,350,350,0,0.00%,0,49
2025-06-13,350,350,350,350,0,0.00%,0,49
2025-06-16,348,348,348,348,-2.,-0.57%,0,49
2025-06-17,348,348,348,348,0,0.00%,0,49
2025-06-18,348,348,348,348,0,0.00%,0,49
2025-06-20,350,350,350,350,2,+0.57%,3,49
2025-06-23,350,350,350,350,0,0.00%,0,49
2025-06-24,350,350,350,350,0,0.00%,0,49
2025-06-25,350,350,350,350,0,0.00%,0,49
2025-06-26,350,350,350,350,0,0.00%,0,49
2025-06-27,350,350,350,350,0,0.00%,0,49
2025-06-30,356,356,356,356,6,+1.71%,0,49
2025-07-01,356,356,356,356,0,0.00%,0,49
2025-07-02,356,356,356,356,0,0.00%,0,39
2025-07-03,356,356,356,356,0,0.00%,0,39
2025-07-07,353,353,353,353,-3.,-0.84%,6,39
2025-07-08,353,353,353,353,0,0.00%,0,39
2025-07-09,353,353,353,353,0,0.00%,0,39
2025-07-10,353,353,353,353,0,0.00%,0,39
2025-07-11,353,353,353,353,0,0.00%,0,39
2025-07-14,353,353,353,353,0,0.00%,0,39
2025-07-15,353,353,353,353,0,0.00%,0,39
2025-07-16,352,352,352,352,-1.,-0.28%,0,39
2025-07-17,352,352,352,352,0,0.00%,0,39
2025-07-18,352,352,352,352,0,0.00%,0,39
2025-07-21,356,356,356,356,4,+1.14%,0,39
2025-07-22,361,361,361,361,5,+1.40%,0,39
2025-07-23,361,361,361,361,0,0.00%,0,39
2025-07-24,361,361,361,361,0,0.00%,0,39
2025-07-25,361,361,361,361,0,0.00%,0,39
2025-07-28,361,361,361,361,0,0.00%,0,39
2025-07-29,361,361,361,361,0,0.00%,0,39
2025-07-30,361,361,361,361,0,0.00%,0,39
2025-07-31,358,358,358,358,-3.,-0.83%,0,39
2025-08-01,358,358,358,358,0,0.00%,0,29
2025-08-04,358,358,358,358,0,0.00%,0,29
2025-08-05,358,358,358,358,0,0.00%,0,29
2025-08-06,358,358,358,358,0,0.00%,0,29
2025-08-07,358,358,358,358,0,0.00%,0,29
2025-08-08,358,358,358,358,0,0.00%,6,29
2025-08-11,353,353,353,353,-5.,-1.40%,19,43
2025-08-12,353,353,353,353,0,0.00%,0,43
2025-08-13,356,356,356,356,3,+0.85%,6,49
2025-08-14,354,354,354,354,-2.,-0.56%,0,49
2025-08-15,354,354,354,354,0,0.00%,0,49
2025-08-18,354,354,354,354,0,0.00%,0,49
2025-08-19,352,352,352,352,-2.,-0.56%,0,49
2025-08-20,352,352,352,352,0,0.00%,3,49
2025-08-21,352,352,352,352,0,0.00%,1,50
2025-08-22,352,352,352,352,0,0.00%,0,50
2025-08-25,352,352,352,352,0,0.00%,0,50
2025-08-26,352,352,352,352,0,0.00%,0,50
2025-08-27,352,352,352,352,0,0.00%,0,50
2025-08-28,349,349,349,349,-3.,-0.85%,3,47
2025-08-29,349,349,349,349,0,0.00%,0,37
2025-09-02,349,349,349,349,0,0.00%,0,37
2025-09-03,349,349,349,349,0,0.00%,0,37
2025-09-04,349,349,349,349,0,0.00%,0,37
2025-09-05,349,349,349,349,0,0.00%,0,37
2025-09-08,349,349,349,349,0,0.00%,0,37
2025-09-09,349,349,349,349,0,0.00%,0,37
2025-09-10,349,349,349,349,0,0.00%,0,37
2025-09-11,343,343,343,343,-6.,-1.72%,13,45
2025-09-12,343,343,343,343,0,0.00%,0,45
2025-09-15,343,343,343,343,0,0.00%,0,45
2025-09-16,343,343,343,343,0,0.00%,0,45
2025-09-17,343,343,343,343,0,0.00%,0,45
2025-09-18,343,343,343,343,0,0.00%,0,45
2025-09-19,343,343,343,343,0,0.00%,0,45
2025-09-22,343,343,343,343,0,0.00%,0,45
2025-09-23,343,343,343,343,0,0.00%,0,45
2025-09-24,343,343,343,343,0,0.00%,0,45
2025-09-25,343,343,343,343,0,0.00%,12,48
2025-09-26,343,343,343,343,0,0.00%,0,48
2025-09-29,343,343,343,343,0,0.00%,0,48
2025-09-30,343,343,343,343,0,0.00%,0,48
2025-10-01,343,343,343,343,0,0.00%,0,48
2025-10-02,343,343,343,343,0,0.00%,0,21
2025-10-03,343,343,343,343,0,0.00%,0,21
2025-10-06,343,343,343,343,0,0.00%,3,21
2025-10-07,344,344,344,344,1,+0.29%,0,21
2025-10-08,345,345,345,345,1,+0.29%,0,21
2025-10-09,345,345,345,345,0,0.00%,0,21
2025-10-10,346,346,346,346,1,+0.29%,0,21
2025-10-13,347,347,347,347,1,+0.29%,0,21
2025-10-14,347,347,347,347,0,0.00%,0,21
2025-10-15,347,347,347,347,0,0.00%,0,21
2025-10-16,348,348,348,348,1,+0.29%,0,21
2025-10-17,348,348,348,348,0,0.00%,0,21
2025-10-20,349,349,349,349,1,+0.29%,0,21
2025-10-21,349,349,349,349,0,0.00%,0,21
2025-10-22,349,349,349,349,0,0.00%,0,21
2025-10-23,349,349,349,349,0,0.00%,0,21
2025-10-24,349,349,349,349,0,0.00%,0,21
2025-10-27,349,349,349,349,0,0.00%,0,21
2025-10-28,350,350,350,350,1,+0.29%,0,21
2025-10-29,350,350,350,350,0,0.00%,0,21
2025-10-30,350,350,350,350,0,0.00%,0,21
2025-10-31,350,350,350,350,0,0.00%,0,12
"Downloaded from Barchart.com as of 08-12-2026 05:44am CDT"
