factor,cadence,horizon,native_matched_n,independent_n,spearman,pearson,circular_shift_p,first_half_spearman,second_half_spearman,stable_sign,first_date,last_date,holm_adjusted_p,screen_pass
bdi_mom3,monthly,5,24,24,-0.25969560543170384,-0.3021831850861452,0.27936031984008,-0.40846083281831924,-0.3846153846153847,True,2024-09-18,2026-08-01,1.0,False
bdi_mom3,monthly,10,24,24,0.04434782608695652,-0.08054710632443719,0.8025987006496752,0.31468531468531474,-0.34965034965034975,False,2024-09-18,2026-08-01,1.0,False
turkey_rebar_fixed_mom5,daily,15,239,24,0.13195464691168382,-0.06040096558387586,0.48125937031484256,0.04160459499865047,0.26694617711750956,True,2025-07-10,2026-07-15,1.0,False
turkey_rebar_scrap_spread_mom5,daily,15,239,24,-0.18608695652173912,-0.2610799606551589,0.4367816091954023,0.027972027972027972,-0.16783216783216784,False,2025-07-10,2026-07-15,1.0,False
usdinr_mom3,monthly,15,23,22,-0.35443776185481646,-0.33082195757553456,0.09145427286356822,-0.2844156393243098,-0.4909090909090909,True,2024-09-18,2026-07-01,1.0,False
turkey_sheet_mom3,monthly,15,23,22,0.026010752924107133,-0.023817104008123504,0.9600199900049975,-0.2660662432388705,0.3545454545454546,False,2024-09-18,2026-07-01,1.0,False
bdi_mom3,monthly,15,23,22,0.011871121210448398,-0.0088294522574842,1.0,0.18349396085439343,-0.018181818181818184,False,2024-09-18,2026-07-01,1.0,False
turkey_rebar_fixed_mom20,daily,15,225,22,-0.14922284661790494,-0.028894469582771937,0.5247376311844077,0.15771611160340113,-0.43636363636363645,False,2025-07-31,2026-07-15,1.0,False
turkey_overlap_mom5,daily,30,426,22,0.09962139774989504,-0.0014892692291512168,0.9535232383808095,0.08735839935247218,0.24784079854830485,True,2023-12-23,2026-06-15,1.0,False
turkey_overlap_mom10,daily,30,421,22,0.1360813099943535,0.2007310577350457,0.5582208895552224,-0.045454545454545456,0.19090909090909092,False,2023-12-23,2026-06-15,1.0,False
turkey_overlap_mom20,daily,30,411,22,0.12143462783025705,0.259097517967243,0.6756621689155422,-0.01822328190312821,0.2545454545454546,False,2023-12-23,2026-06-15,1.0,False
turkey_rebar_scrap_spread_mom20,daily,15,225,22,0.009601807781927301,-0.06152609588609903,0.9025487256371814,0.3181818181818182,-0.3181818181818182,False,2025-07-31,2026-07-15,1.0,False
iron_ore_fixed_mom5,daily,30,399,21,-0.18577461194154332,-0.11893235787923405,0.34332833583208394,0.12766016417281356,-0.27272727272727276,False,2024-09-18,2026-06-15,1.0,False
iron_ore_fixed_mom20,daily,30,399,21,-0.16953557243616363,-0.004887281111840305,0.487256371814093,-0.5896683773696626,0.07272727272727274,False,2024-09-18,2026-06-15,1.0,False
china_hrc_monthly_mom1,monthly,30,26,19,-0.36946032516786165,-0.33076052850130166,0.2893553223388306,-0.6778302010921357,-0.33333333333333326,True,2023-12-23,2026-06-15,1.0,False
china_hrc_monthly_mom3,monthly,30,26,19,-0.4686266357236059,-0.44175178668242054,0.1629185407296352,-0.25104822262671694,-0.6848484848484848,True,2023-12-23,2026-06-15,1.0,False
usdinr_mom1,monthly,30,24,18,0.07743934950413432,0.0745452026454537,0.8325837081459271,0.7196715715299219,-0.2833333333333333,False,2024-02-01,2026-06-15,1.0,False
turkey_sheet_mom1,monthly,30,24,18,-0.02168301786115761,0.05091937690249755,0.935032483758121,-0.18410202992625907,0.049999999999999996,False,2024-02-01,2026-06-15,1.0,False
bdi_mom1,monthly,30,24,18,-0.17561983471074383,-0.16759076767232384,0.543728135932034,-0.638655462184874,0.15,False,2024-02-01,2026-06-15,1.0,False
usdinr_mom3,monthly,30,23,17,-0.1361128398079764,0.006686264791414422,0.7706146926536732,0.10778636357219329,-0.39999999999999997,False,2024-09-18,2026-06-15,1.0,False
turkey_sheet_mom3,monthly,30,23,17,0.16809815950920248,0.2105369442513716,0.4512743628185907,0.14371515142959107,0.3,True,2024-09-18,2026-06-15,1.0,False
bdi_mom3,monthly,30,23,17,-0.3654200564214142,-0.29057794440045254,0.3233383308345827,-0.7185757571479554,-0.11666666666666665,True,2024-09-18,2026-06-15,1.0,False
turkey_overlap_mom5,daily,45,396,15,-0.2150551448197962,-0.1525491442952112,0.41579210394802596,-0.642857142857143,-0.15569141404872364,True,2023-12-23,2026-06-15,1.0,False
turkey_overlap_mom10,daily,45,391,15,0.07857142857142857,-0.06040463861766529,0.8085957021489255,-0.3571428571428572,0.11904761904761905,False,2023-12-23,2026-06-15,1.0,False
china_hrc_mom4,weekly,30,68,14,-0.14610431075889477,-0.12385606301040619,0.6976511744127936,-0.6847124716486249,0.7412493166611013,False,2023-12-23,2025-10-06,1.0,False
china_hrc_mom12,weekly,30,68,14,-0.15059982801301464,-0.2548915118013599,0.777111444277861,-0.198206241793023,-0.11118739749916519,True,2023-12-23,2025-10-06,1.0,False
iron_ore_fixed_mom5,daily,45,379,14,0.0022075270337830345,0.1268299511466988,1.0,-0.37062465833055064,0.0,False,2024-09-18,2026-06-15,1.0,False
iron_ore_fixed_mom20,daily,45,379,14,0.050773121777009794,0.20561677094033864,0.9260369815092454,0.18531232916527532,0.21428571428571433,True,2024-09-18,2026-06-15,1.0,False
turkey_overlap_mom20,daily,45,381,14,0.3274725274725274,0.47181050375567546,0.13893053473263367,0.3214285714285715,0.25,True,2023-12-23,2026-06-15,1.0,False
usdinr_mom1,monthly,45,22,12,0.143607926009361,-0.0067987358143159465,0.9050474762618691,0.6377481392176932,-0.4285714285714286,False,2024-02-01,2026-06-15,1.0,False
china_hrc_monthly_mom1,monthly,45,24,12,0.12959739664259406,0.17970606440808806,0.5472263868065967,-0.11595420713048968,0.5428571428571429,False,2023-12-23,2026-06-15,1.0,False
china_hrc_monthly_mom3,monthly,45,24,12,0.18213688176797005,0.04760350433368843,0.7166416791604198,0.28988551782622424,-0.08571428571428573,False,2023-12-23,2026-06-15,1.0,False
turkey_sheet_mom1,monthly,45,22,12,0.31523691075225585,0.3726709501619607,0.4527736131934033,0.898645105261295,0.08571428571428573,True,2024-02-01,2026-06-15,1.0,False
bdi_mom1,monthly,45,22,12,0.268421052631579,0.22245780752669048,0.35332333833083457,0.27941176470588236,0.08571428571428573,True,2024-02-01,2026-06-15,1.0,False
usdinr_mom3,monthly,45,21,11,0.18678863950706415,0.0906278753894632,0.4107946026986507,0.6668859288553503,-0.4285714285714286,False,2024-09-18,2026-06-15,1.0,False
turkey_sheet_mom3,monthly,45,21,11,0.02511415525114155,0.12118089583244551,1.0,-0.05129891760425771,0.08571428571428573,False,2024-09-18,2026-06-15,1.0,False
bdi_mom3,monthly,45,21,11,-0.17767699855550004,-0.28373372122483226,0.712143928035982,-0.20519567041703085,0.08571428571428573,False,2024-09-18,2026-06-15,1.0,False
usdinr_daily_mom5,daily,5,46,11,0.45454545454545453,0.4611579301271518,0.20789605197401298,0.09999999999999999,0.7142857142857143,True,2026-05-22,2026-08-04,1.0,False
china_hrc_fixed_mom5,daily,5,46,11,-0.15454545454545454,-0.1672607041176537,0.5142428785607196,-0.39999999999999997,0.028571428571428574,False,2026-05-20,2026-08-04,1.0,False
turkey_rebar_fixed_mom5,daily,30,218,11,-0.18115789195666254,-0.5561834983175893,0.5952023988005997,-0.22360679774997894,-0.11595420713048969,True,2025-07-10,2026-06-15,1.0,False
turkey_rebar_fixed_mom20,daily,30,204,11,-0.28181818181818186,-0.34099301337969795,0.2108945527236382,-0.09999999999999999,-0.6,True,2025-07-31,2026-06-15,1.0,False
turkey_rebar_scrap_spread_mom5,daily,30,218,11,-0.3181818181818182,-0.572876182929678,0.37831084457771114,-0.09999999999999999,-0.48571428571428577,True,2025-07-10,2026-06-15,1.0,False
