factor,cadence,horizon,native_matched_n,independent_n,spearman,pearson,circular_shift_p,first_half_spearman,second_half_spearman,stable_sign,first_date,last_date,holm_adjusted_p,screen_pass
turkey_rebar_fixed_mom20,daily,45,184,7,0.36037498507822363,0.12307519053322494,,,-0.39999999999999997,False,2025-07-31,2026-06-15,,False
turkey_rebar_scrap_spread_mom20,daily,45,184,7,0.03571428571428572,-0.033499757958553415,,,0.19999999999999998,False,2025-07-31,2026-06-15,,False
usdinr_mom1,monthly,90,19,6,0.8285714285714287,0.9170003402006334,,,,False,2024-09-18,2026-01-01,,False
usdinr_mom3,monthly,90,19,6,0.6,0.16666628899454858,,,,False,2024-09-18,2026-01-01,,False
china_hrc_monthly_mom1,monthly,90,19,6,-0.08571428571428573,-0.08061566440832714,,,,False,2024-09-18,2026-01-01,,False
china_hrc_monthly_mom3,monthly,90,19,6,-0.14285714285714288,-0.21232825505200004,,,,False,2024-09-18,2026-01-01,,False
turkey_sheet_mom1,monthly,90,19,6,-0.2571428571428572,-0.27691388993465144,,,,False,2024-09-18,2026-01-01,,False
turkey_sheet_mom3,monthly,90,19,6,0.08571428571428573,-0.15606163093931452,,,,False,2024-09-18,2026-01-01,,False
bdi_mom1,monthly,90,19,6,-0.48571428571428577,-0.29649053101315864,,,,False,2024-09-18,2026-01-01,,False
bdi_mom3,monthly,90,19,6,-0.4285714285714286,-0.26084280018637346,,,,False,2024-09-18,2026-01-01,,False
iron_ore_mom1,monthly,60,6,6,-0.3714285714285715,-0.10292627499752827,,,,False,2024-10-01,2026-01-01,,False
iron_ore_mom1,monthly,90,6,6,-0.7142857142857143,-0.7383286821083473,,,,False,2024-10-01,2026-01-01,,False
iron_ore_mom3,monthly,5,6,6,-0.3714285714285715,-0.587857552750486,,,,False,2024-10-01,2026-01-01,,False
iron_ore_mom3,monthly,10,6,6,-0.028571428571428574,0.03420123094747009,,,,False,2024-10-01,2026-01-01,,False
iron_ore_mom3,monthly,15,6,6,-0.028571428571428574,-0.4173411608584515,,,,False,2024-10-01,2026-01-01,,False
iron_ore_mom3,monthly,30,6,6,-0.028571428571428574,0.201908094256184,,,,False,2024-10-01,2026-01-01,,False
iron_ore_mom3,monthly,45,6,6,0.6,0.4803257971844218,,,,False,2024-10-01,2026-01-01,,False
iron_ore_mom3,monthly,60,6,6,0.2,0.36394276380544266,,,,False,2024-10-01,2026-01-01,,False
iron_ore_mom3,monthly,90,6,6,0.2,0.1502680438912322,,,,False,2024-10-01,2026-01-01,,False
coking_coal_mom1,monthly,45,6,6,0.3714285714285715,0.18560505768294994,,,,False,2024-10-01,2026-04-01,,False
coking_coal_mom1,monthly,60,6,6,0.2,0.2782767790427949,,,,False,2024-10-01,2026-04-01,,False
coking_coal_mom3,monthly,45,6,6,-0.028571428571428574,-0.12636775524381258,,,,False,2024-10-01,2026-04-01,,False
coking_coal_mom3,monthly,60,6,6,-0.14285714285714288,-0.057760364726616456,,,,False,2024-10-01,2026-04-01,,False
usdinr_daily_mom5,daily,10,39,6,0.7142857142857143,0.48238141337877705,,,,False,2026-05-22,2026-07-28,,False
coking_coal_fixed_mom5,daily,10,38,6,0.7714285714285715,0.7188238536424542,,,,False,2026-05-22,2026-07-28,,False
china_hrc_fixed_mom5,daily,10,39,6,-0.6,-0.560842396228924,,,,False,2026-05-20,2026-07-28,,False
iron_ore_fixed_mom5,daily,90,341,6,-0.2,-0.14925927719321042,,,,False,2024-09-18,2025-12-16,,False
iron_ore_fixed_mom20,daily,90,341,6,0.14285714285714288,0.17588393460888804,,,,False,2024-09-18,2025-12-16,,False
turkey_overlap_mom5,daily,90,333,6,-0.6377481392176932,-0.24352728846800162,,,,False,2024-10-03,2025-12-30,,False
turkey_overlap_mom10,daily,90,328,6,-0.028571428571428574,-0.21164441801129635,,,,False,2024-10-10,2026-01-06,,False
turkey_overlap_mom20,daily,90,318,6,0.3714285714285715,0.4268971431188672,,,,False,2024-10-24,2026-01-22,,False
china_hrc_mom1,weekly,90,59,5,0.39999999999999997,0.5112980746155432,,,,False,2024-09-18,2025-09-22,,False
china_hrc_mom4,weekly,90,59,5,-0.6,-0.5529296221492507,,,,False,2024-09-18,2025-09-22,,False
china_hrc_mom12,weekly,90,59,5,-0.8999999999999998,-0.8398925123874115,,,,False,2024-09-18,2025-09-22,,False
coking_coal_mom1,monthly,90,5,5,0.8999999999999998,0.836068072067301,,,,False,2024-10-01,2026-01-01,,False
