horizon,model,raw_oos_n,nonoverlap_n,first_oos_origin,last_oos_origin,mae_log,zero_mae_log,median_baseline_mae_log,mae_skill_zero_log,mae_skill_zero_pct,mae_skill_zero_ci_low,mae_skill_zero_ci_high,mae_skill_zero_boot_se,median_ae_log,rmse_log,oos_r2_vs_zero,nonoverlap_mae_skill_zero_log,brier,frequency_brier,brier_skill_frequency,brier_skill_frequency_ci_low,brier_skill_frequency_ci_high,brier_skill_frequency_boot_se,log_loss,frequency_log_loss,accuracy,majority_accuracy,accuracy_edge_majority,balanced_accuracy,macro_f1,mcc,down_precision,flat_precision,up_precision,down_recall,flat_recall,up_recall,confusion_json,time_third_skill_min,time_third_skill_median,phase_count_n_ge_2,phase_skill_median,phase_skill_min,phase_skill_positive_share,pti_call_n,pti_call_coverage,pti_call_hit,pti_call_mean_signed_rupee,block_length_origins
5,baseline,67,67,2025-04-03,2026-08-06,0.012418305494143633,0.012418305494143633,0.012660227724692216,0.0,0.0,0.0,0.0,0.0,0.010389703849135868,0.016525825679177035,0.0,0.0,0.6618407346420005,0.6618407346420005,0.0,0.0,0.0,0.0,1.0877570251200637,1.0877570251200637,0.3582089552238806,0.3582089552238806,0.0,0.34422657952069713,0.3843700159489633,-0.025025977935159555,0.47619047619047616,0.16666666666666666,0.0,0.5882352941176471,0.4444444444444444,0.0,"[[20, 13, 1], [5, 4, 0], [17, 7, 0]]",0.0,0.0,5,0.0,0.0,0.0,0,0.0,,,3
5,internal,67,67,2025-04-03,2026-08-06,0.013124169542114764,0.012418305494143633,0.012660227724692216,-0.000705864047971131,-0.05684060907536946,-0.001415484481386503,0.00011188288245379797,0.000416373475616441,0.01044897111649132,0.01685802624001601,-0.04060789448460156,-0.000705864047971131,0.6457046284323217,0.6618407346420005,0.016136106209678647,-0.01561652028246157,0.05128771642383644,0.017720907337697333,1.0325904282464389,1.0877570251200637,0.3283582089552239,0.3582089552238806,-0.02985074626865669,0.24291938997821352,0.29969040247678025,-0.22814809322709945,0.4117647058823529,0.1,0.0,0.6176470588235294,0.1111111111111111,0.0,"[[21, 7, 6], [8, 1, 0], [22, 2, 0]]",-0.0010815248407673405,-0.0006937359040681009,5,-0.0007793964865838183,-0.0012618184616809656,0.0,0,0.0,,,3
5,local,67,67,2025-04-03,2026-08-06,0.013262033206540172,0.012418305494143633,0.012660227724692216,-0.0008437277123965388,-0.06794225772545487,-0.0016216286272381555,1.23747280587845e-05,0.00042373996994606017,0.010539770834531106,0.017159188298889953,-0.07812010628580301,-0.0008437277123965383,0.6230766174479403,0.6618407346420005,0.03876411719406014,-0.00819313313334294,0.08418099272804976,0.024460542405456566,0.9903147636796984,1.0877570251200637,0.3880597014925373,0.3582089552238806,0.029850746268656747,0.3760893246187364,0.3434343434343435,-0.03581868898759239,0.4523809523809524,0.3076923076923077,0.25,0.5588235294117647,0.4444444444444444,0.125,"[[19, 7, 8], [4, 4, 1], [19, 2, 3]]",-0.0012081535855826846,-0.0009104292668527885,5,-0.0007852577685221775,-0.0013716076887268728,0.0,0,0.0,,,3
5,turkey,67,67,2025-04-03,2026-08-06,0.013032534560776882,0.012418305494143633,0.012660227724692216,-0.0006142290666332473,-0.04946158450707405,-0.0014903852452188315,0.0001788532803270912,0.000439775546957556,0.010431505421223737,0.017079160914684467,-0.06808723815141748,-0.0006142290666332484,0.6359103052113154,0.6618407346420005,0.025930429430685045,-0.022482370212475178,0.08115288302700119,0.026708859766863467,1.0485240721481284,1.0877570251200637,0.40298507462686567,0.3582089552238806,0.04477611940298509,0.28104575163398693,0.38859591298615687,-0.08210812872233127,0.4791666666666667,0.0,0.3076923076923077,0.6764705882352942,0.0,0.16666666666666666,"[[23, 4, 7], [7, 0, 2], [18, 2, 4]]",-0.0015721114063904403,-0.00032279579256236384,5,-0.0007571217140312503,-0.001587940228471892,0.2,0,0.0,,,3
5,combined,67,67,2025-04-03,2026-08-06,0.013176426217230551,0.012418305494143633,0.012660227724692216,-0.0007581207230869164,-0.06104864495759423,-0.0016145456921051792,-2.838496371465638e-07,0.00042135961150284023,0.01025372950221027,0.017357517128789437,-0.10318632652381976,-0.0007581207230869177,0.6233319029659736,0.6618407346420005,0.0385088316760269,-0.016858003813854258,0.09715361674314153,0.02936485521357778,1.0245449240962392,1.0877570251200637,0.4626865671641791,0.3582089552238806,0.10447761194029853,0.41421568627450983,0.4114114114114114,0.07912456166543079,0.525,0.3333333333333333,0.3888888888888889,0.6176470588235294,0.3333333333333333,0.2916666666666667,"[[21, 5, 8], [3, 3, 3], [16, 1, 7]]",-0.0016138226908779642,-0.0005081266257634646,5,-0.0008239173046328471,-0.0016177471209795243,0.2,0,0.0,,,3
5,nonlinear,67,67,2025-04-03,2026-08-06,0.013215587115163316,0.012418305494143633,0.012660227724692216,-0.0007972816210196823,-0.06420212656192695,-0.0017633512608428489,0.00011010166744672577,0.00047196609304209507,0.010739666471654925,0.017458001083452655,-0.1159961530376672,-0.0007972816210196822,0.61909305492978,0.6618407346420005,0.042747679712220474,-0.018109315519105572,0.1105411902254335,0.032564306784551,0.9982740379618703,1.0877570251200637,0.4925373134328358,0.3582089552238806,0.13432835820895522,0.44199346405228757,0.44542483660130716,0.13156313303304543,0.5526315789473685,0.375,0.42857142857142855,0.6176470588235294,0.3333333333333333,0.375,"[[21, 4, 9], [3, 3, 3], [14, 1, 9]]",-0.0017065579352255646,-0.0007890329736186728,5,-0.0008158161468046488,-0.001972473337166462,0.2,0,0.0,,,3
10,baseline,67,34,2025-04-12,2026-08-01,0.01911579756713823,0.01911579756713823,0.019861031581416746,0.0,0.0,0.0,0.0,0.0,0.014472032608534432,0.02485917713727381,0.0,0.0,0.5930475973395593,0.5930475973395593,0.0,0.0,0.0,0.0,0.9619839374681841,0.9619839374681841,0.373134328358209,0.373134328358209,0.0,0.2366597366597367,0.3239957716701903,-0.2928188243046003,0.4489795918367347,,0.16666666666666666,0.5945945945945946,0.0,0.11538461538461539,"[[22, 0, 15], [4, 0, 0], [23, 0, 3]]",0.0,0.0,10,0.0,0.0,0.0,0,0.0,,,3
10,internal,67,34,2025-04-12,2026-08-01,0.020072440180006295,0.01911579756713823,0.019861031581416746,-0.0009566426128680628,-0.05004460889001133,-0.0024885464842468426,0.0005465550251351461,0.0007715266698854353,0.015344286299281057,0.025991872568796755,-0.09320507780291742,-0.0007665179631063078,0.6095040593197764,0.5930475973395593,-0.016456461980217187,-0.05455625876850292,0.02705202510465231,0.020485811231239017,0.9958525238748361,0.9619839374681841,0.4626865671641791,0.373134328358209,0.08955223880597013,0.2830907830907831,0.3443609022556391,-0.19031281711347323,0.5172413793103449,,0.1111111111111111,0.8108108108108109,0.0,0.038461538461538464,"[[30, 0, 7], [3, 0, 1], [25, 0, 1]]",-0.0020791019403196965,-0.0006752577968928247,10,-0.0013990804017757486,-0.002616311937898238,0.3,0,0.0,,,3
10,local,67,34,2025-04-12,2026-08-01,0.020422005019303476,0.01911579756713823,0.019861031581416746,-0.00130620745216525,-0.06833130804914664,-0.00291244230346188,0.00013682661970720108,0.0007501279763262353,0.01546179769272523,0.02608344256374215,-0.10092142213081612,-0.0007761672305482831,0.6492012273035834,0.5930475973395593,-0.05615362996402418,-0.1299598806369867,0.00037136432620020487,0.034481451490130106,1.0720114317096303,0.9619839374681841,0.43283582089552236,0.373134328358209,0.05970149253731338,0.2765072765072765,0.3882586500283607,-0.1282004937810669,0.5102040816326531,0.0,0.26666666666666666,0.6756756756756757,0.0,0.15384615384615385,"[[25, 3, 9], [2, 0, 2], [22, 0, 4]]",-0.0019023912084013377,-0.001570118821559504,10,-0.0008629765411626855,-0.004674264301818158,0.1,0,0.0,,,3
10,turkey,67,34,2025-04-12,2026-08-01,0.020682258547320812,0.01911579756713823,0.019861031581416746,-0.0015664609801825837,-0.08194588662496985,-0.0031292069488544163,0.000165455317383249,0.0008367290884032347,0.017365722545291534,0.026488477630608395,-0.1353780654207415,-0.00142331849750231,0.6581877871514131,0.5930475973395593,-0.06514018981185389,-0.12660031924891058,-0.009748091212579328,0.02964012095679865,1.070789628727396,0.9619839374681841,0.40298507462686567,0.373134328358209,0.02985074626865669,0.24705474705474706,0.31135531135531136,-0.28543203911785114,0.48148148148148145,,0.07692307692307693,0.7027027027027027,0.0,0.038461538461538464,"[[26, 0, 11], [3, 0, 1], [25, 0, 1]]",-0.002940552922639622,-0.0020507119995825983,10,-0.0015011590846294668,-0.00321607161404373,0.1,0,0.0,,,3
