lookback,threshold,horizon,called_n,called_hit,called_mean_signed,episode_n,episode_hit,episode_binom_p,episode_mean_signed,greedy_n,greedy_hits,greedy_hit,greedy_binom_p,greedy_mean_signed,greedy_median_signed,mbb_block,mbb_ci_low,mbb_ci_high,phase_count,phase_n_min,phase_n_median,phase_hit_min,phase_hit_median,phase_mean_min,phase_mean_median,post_n,post_hit,post_mean_signed,half1_n,half1_hit,half1_mean_signed,half2_n,half2_hit,half2_mean_signed,third1_n,third1_hit,third1_mean_signed,third2_n,third2_hit,third2_mean_signed,third3_n,third3_hit,third3_mean_signed,greedy_holm_p,episode_holm_p,max_shift_p
40,0.75,5,160,0.4375,0.0017578465079167247,26,0.38461538461538464,0.9156812280416489,-0.000575744167183734,47,20,0.425531914893617,0.8785198913583372,0.00018768627064057075,0.0,5,-0.0015609105243443197,0.005533078075915638,4,46,46.0,0.41304347826086957,0.4192876965772433,0.00018768627064057075,0.0003021175598253788,39,0.41025641025641024,-3.765362852069963e-05,17,0.4117647058823529,0.0016458398335117619,30,0.43333333333333335,-0.0006386007483197708,8,0.5,0.0012862182790517643,24,0.4166666666666667,0.0016000938626000224,15,0.4,-0.002658049614313854,1.0,1.0,0.9703432189270244
40,0.75,10,152,0.46710526315789475,0.002739154262590219,25,0.6,0.21217811107635498,0.0020260884606748634,26,13,0.5,0.577490508556366,0.0028264685757883787,0.0012771399025483712,10,-0.0023870807422693902,0.008214448030900347,8,25,25.0,0.48,0.52,0.0028264685757883787,0.003040402247890469,22,0.5,0.0031084605039364732,9,0.5555555555555556,0.0025323980912423747,17,0.47058823529411764,0.002982152949959793,4,0.5,0.0012755129709738624,14,0.5714285714285714,0.005207003209176407,9,0.4444444444444444,0.0034295472488648604,1.0,1.0,0.7137620793068977
40,0.75,15,145,0.5172413793103449,0.005479868120926225,24,0.5833333333333334,0.27062809467315674,0.005306159797109273,19,10,0.5263157894736842,0.5,0.004901863502943835,0.0025477720787986644,15,-0.0013928649013519895,0.012805972318139182,12,18,18.0,0.5,0.5,0.004458457425498545,0.004599822297950902,16,0.5,0.004697697759468909,7,0.5714285714285714,0.01163546363442612,13,0.5384615384615384,0.0028367238418083476,3,0.6666666666666666,0.005990747468143435,10,0.5,0.010314197508441158,7,0.5714285714285714,0.0029730504623604304,1.0,1.0,0.6197934021992669
40,0.75,30,117,0.8034188034188035,0.021956326604209646,18,0.7222222222222222,0.048126220703125,0.024512162957337037,10,8,0.8,0.0546875,0.021632781955806375,0.017076467567647084,30,0.0111169314994253,0.03393923427709118,16,10,10.0,0.8,0.8,0.021632781955806375,0.02214136846908788,9,0.7777777777777778,0.023753338608807236,3,0.6666666666666666,0.009396734230712111,7,0.8571428571428571,0.02687680240941821,1,1.0,0.0025477720787986644,6,0.6666666666666666,0.0152359478680673,3,1.0,0.039750755217766165,1.0,1.0,0.161946017994002
40,0.75,45,102,0.8333333333333334,0.0372454884417327,18,0.7777777777777778,0.01544189453125,0.035643694405869335,8,7,0.875,0.03515625,0.03452315918175919,0.02913382896470714,45,0.021768465203837246,0.05428889531659326,4,8,8.0,0.875,0.875,0.03452315918175919,0.03515767831074178,7,0.8571428571428571,0.036887575864234745,2,1.0,0.02180733650888402,6,0.8333333333333334,0.03876176673938425,1,1.0,0.017972242404430367,4,0.75,0.026383648139581203,3,1.0,0.05265183186405408,1.0,0.8956298828125,0.04165278240586471
40,0.75,60,96,0.7708333333333334,0.04083984447616901,14,0.7142857142857143,0.08978271484375,0.03288279575717978,6,5,0.8333333333333334,0.109375,0.03603042028676488,0.030410968867255507,60,0.01542450996633067,0.06675781646935428,23,6,6.0,0.6666666666666666,0.8333333333333334,0.027589798150305735,0.034327426905480546,6,0.8333333333333334,0.03603042028676488,1,1.0,0.02564243061333767,5,0.8,0.038108018221450324,0,,,2,1.0,0.051301735874732995,4,0.75,0.028394762492780827,1.0,1.0,0.21559480173275575
40,0.75,90,96,0.7083333333333334,0.036046102139246715,13,0.6923076923076923,0.1334228515625,0.03016980403607689,4,2,0.5,0.6875,0.015954474725952298,0.023198100844110295,90,0.023294330284130853,0.048382752508971796,23,4,4.0,0.5,0.5,0.003195847721598772,0.012020509538318739,4,0.5,0.015954474725952298,2,0.5,0.04445702555930012,2,0.5,-0.012548076107395518,1,0.0,-0.015075662405447396,2,1.0,0.08273078880885781,2,0.5,0.009250455826151,1.0,1.0,
40,1.0,5,133,0.45112781954887216,0.0020630404075013225,23,0.43478260869565216,0.7975635528564453,-0.0013729190790086826,40,16,0.4,0.923070027918584,-0.0001120864251745254,0.0,5,-0.0016860804153441314,0.006243588305175068,4,39,39.5,0.4,0.41794871794871796,-0.00011496043607643746,-0.0001120864251745254,33,0.3939393939393939,-0.0006014956445835072,13,0.46153846153846156,0.002733838733017117,27,0.37037037037037035,-0.0014823466865260574,7,0.42857142857142855,0.0021951284663249597,19,0.42105263157894735,0.0016201577829602386,14,0.35714285714285715,-0.0036165967248214482,1.0,1.0,0.9780073308897035
40,1.0,10,126,0.46825396825396826,0.003009136036830481,21,0.5714285714285714,0.33181190490722656,0.004275869707008154,22,11,0.5,0.5840940475463867,0.002374524376431504,0.0012674278015940331,10,-0.0025259743574821527,0.009522376796417866,9,21,22.0,0.45454545454545453,0.47619047619047616,0.002259303667195682,0.002374524376431504,19,0.47368421052631576,0.0023481900616228297,7,0.5714285714285714,0.005459551554836171,15,0.4666666666666667,0.0009348450265093251,3,0.6666666666666666,0.0025413083702197736,11,0.5454545454545454,0.0044661386375182775,9,0.4444444444444444,0.0034295472488648604,1.0,1.0,0.7744085304898367
40,1.0,15,120,0.475,0.004652968531416133,20,0.6,0.2517223358154297,0.0049193905750272325,18,11,0.6111111111111112,0.2403411865234375,0.005964571506249392,0.005183063304157538,15,-0.0021809654979955562,0.012227192558165142,13,17,18.0,0.5294117647058824,0.5555555555555556,0.005823746194961164,0.005964571506249392,16,0.5625,0.006233647625114356,6,0.6666666666666666,0.011849988024535317,12,0.5833333333333334,0.00302186324710643,2,1.0,0.0038119625553296797,9,0.5555555555555556,0.007836709943961184,7,0.5714285714285714,0.004496874434388323,1.0,1.0,0.5534821726091302
