as_of,spot_8ANI,live_z60,signal,horizon,analog_rows,independent_n,defensible,mean_future_return,median_future_return,return_80_low,return_80_high,mean_implied_price,median_implied_price,price_80_low,price_80_high
2026-08-11,38500.0,1.398273215010349,DOWN,5,130,38,False,-0.0028641775180127454,-0.0,-0.018018505502678365,0.012923699102847063,,,,
2026-08-11,38500.0,1.398273215010349,DOWN,10,122,23,False,-0.004739842787695767,-0.002591201105683106,-0.026514206637199115,0.013427317392710072,,,,
2026-08-11,38500.0,1.398273215010349,DOWN,15,115,17,False,-0.00855782405345362,-0.005277057100843781,-0.04212736997823406,0.017012777915993028,,,,
2026-08-11,38500.0,1.398273215010349,DOWN,30,87,9,False,-0.030610368377260024,-0.02564243061333767,-0.07785005179109239,0.003671119065339623,,,,
2026-08-11,38500.0,1.398273215010349,DOWN,45,82,6,False,-0.045668079306334985,-0.040058760552004864,-0.09591149961836334,0.002192158424083013,,,,
2026-08-11,38500.0,1.398273215010349,DOWN,60,80,5,False,-0.045322294554542994,-0.06144550527121778,-0.10594857800938066,0.025132902816612804,,,,
2026-08-11,38500.0,1.398273215010349,DOWN,90,81,4,False,-0.03475901078792784,-0.06899287148695143,-0.10506892796076102,0.08656801630845902,,,,
